Mason Crosby 2	K	6-1	207	34	12	Colorado 2018-scott-jk-hs
JK Scott 6	P	6-6	208	21	R	Alabama 2018-Boyle-Tim-hs
Tim Boyle 8	QB	6-4	232	23	R	Eastern Kentucky 2018-Kizer-DeShone-hs
DeShone Kizer 9	QB	6-4	235	22	2	Notre Dame 2018-Davis-Trevor-hs
Trevor Davis 11	WR	6-1	188	25	3	California #12 - QB <forge-entity title="Aaron Rodgers" slug="aaron-rodgers" code="player">Aaron Rodgers</forge-entity>
Aaron Rodgers 12	QB	6-2	225	34	14	California 2018-Adams-Davante-hs
Davante Adams 17	WR	6-1	215	25	5	Fresno State 2018-Cobb-Randall-hs
Randall Cobb 18	WR	5-10	192	28	8	Kentucky 2018-st-brown-equanimeous-hs
Equanimeous St. Brown 19	WR	6-5	214	21	R	Notre Dame 2018-King-Kevin-hs
Kevin King 20	CB	6-3	200	23	2	Washington 2018-Clinton-Dix-Ha-Ha-2560
Ha Ha Clinton-Dix 21	S	6-1	208	25	5	Alabama #22 - RB Darius Jackson
Darius Jackson 22	RB	6-0	228	24	3	Eastern Michigan 2018-alexander-jaire-hs
Jaire Alexander 23	CB	5-10	196	21	R	Louisville 2018-Jones-Josh-hs
Josh Jones 27	S	6-2	220	23	2	North Carolina State 2018-Brice-Kentrell-hs
Kentrell Brice 29	S	5-11	200	24	3	Louisiana Tech 2018-Williams-Jamaal-hs
Jamaal Williams 30	RB	6-0	213	23	2	Brigham Young 2018-House-Davon-hs
Davon House 31	CB	6-0	195	29	8	New Mexico State 2018-Whitehead-Jermaine-hs
Jermaine Whitehead 35	S	5-11	195	25	2	Auburn 2018-Greene-Raven-hs
Raven Greene 36	S	5-11	197	23	R	James Madison 2018-jackson-josh-hs
Josh Jackson 37	CB	6-0	196	22	R	Iowa 2018-Williams-Tramon-hs
Tramon Williams 38	CB	5-11	191	35	12	Louisiana Tech 2018-burks-oren-hs
Oren Burks 42	LB	6-3	233	23	R	Vanderbilt 2018-bradley-hunter-hs
Hunter Bradley 43	LS	6-3	241	24	R	Mississippi State #44 - LB Antonio Morrison
Antonio Morrison 44	LB	6-1	241	23	3	Florida 2018-Martinez-Blake-hs
Blake Martinez 50	LB	6-2	237	24	3	Stanford 2018-Fackrell-Kyler-hs
Kyler Fackrell 51	LB	6-5	245	26	3	Utah State 2018-Matthews-Clay-hs
Clay Matthews 52	LB	6-3	255	32	10	Southern California 2018-Perry-Nick-hs
Nick Perry 53	LB	6-3	265	28	7	Southern California \# 54 - LB James Crawford
James Crawford 54	LB	6-2	239	23	R	Illinois #56 - LB Korey Toomer
Korey Toomer 56	LB	6-2	235	29	5	Idaho 2018-Patrick-Lucas-hs
Lucas Patrick 62	G	6-3	313	25	2	Duke 2018-Linsley-Corey-hs
Corey Linsley 63	C	6-3	301	27	5	Ohio State 2018-McCray-Justin-hs
Justin McCray 64	G	6-3	317	26	2	Central Florida 2018-Taylor-Lane-hs
Lane Taylor 65	G	6-3	324	28	6	Oklahoma State 2018-Bakhtiari-David-hs
David Bakhtiari 69	T	6-4	310	26	6	Colorado 2018-Light-Alex-hs
Alex Light 70	T/G	6-5	309	22	R	Richmond 2018-Bell-Byron-hs
Byron Bell 74	T/G	6-5	320	29	8	New Mexico 2018-Bulaga-Bryan-hs
Bryan Bulaga 75	T	6-5	314	29	9	Iowa 2018-Daniels-Mike-hs
Mike Daniels 76	DL	6-0	310	29	7	Iowa 2018-Spriggs-Jason-hs
Jason Spriggs 78	T	6-6	301	24	3	Indiana 2018-Graham-Jimmy-hs
Jimmy Graham 80	TE	6-7	265	31	9	Miami 2018-Allison-Geronimo-hs
Geronimo Allison 81	WR	6-3	202	24	3	Illinois 2018-moore-jmon-hs
J'Mon Moore 82	WR	6-3	205	23	R	Missouri 2018-valdes-scantling-marquez-hs
Marquez Valdes-Scantling 83	WR	6-4	206	23	R	South Florida 2018-Kendricks-Lance-hs
Lance Kendricks 84	TE	6-3	250	30	8	Wisconsin 2018-Tonyan-Robert-hs
Robert Tonyan 85	TE	6-5	237	24	1	Indiana State 2018-Montgomery-Ty-hs
Ty Montgomery 88	RB	6-0	216	25	4	Stanford 2018-Lewis-Marcedes-hs
Marcedes Lewis 89	TE	6-6	267	34	13	UCLA 2018-Adams-Montravius-hs
Montravius Adams 90	DL	6-4	304	23	2	Auburn 2018-Gilbert-Reggie-hs
Reggie Gilbert 93	LB	6-3	261	25	1	Arizona 2018-Lowry-Dean-hs
Dean Lowry 94	DL	6-6	296	24	3	Northwestern 2018-Wilkerson-Muhammad-hs
Muhammad Wilkerson 96	DL	6-4	315	28	8	Temple 2018-Clark-Kenny-hs
Kenny Clark 97	DL	6-3	314	22	3	UCLA